City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,riyadh,24.6877,46.7219,297.23,24,5,7.13,SA,1681490770
135,luderitz,-26.6481,15.1594,293.84,52,1,11.38,NA,1681490913
136,marsh harbour,26.5412,-77.0636,298.29,81,90,5.3,BS,1681490914
137,ubatuba,-23.4339,-45.0711,299.68,77,52,1.74,BR,1681490835
138,egvekinot,66.3167,-179.1667,250.19,86,6,3.48,RU,1681490914
139,east moline,41.5009,-90.4443,299.22,30,0,4.12,US,1681490914
140,korla,41.7597,86.1469,289.77,25,86,3.05,CN,1681490915
141,kalol,22.6,73.45,305.84,21,25,2.39,IN,1681490915
142,kampot,10.6167,104.1833,303.18,84,12,3.99,KH,1681490915
143,saskylakh,71.9167,114.0833,269.43,89,94,6.74,RU,1681490916
144,umm lajj,25.0213,37.2685,298.02,57,98,5.23,SA,1681490916
145,goderich,43.7501,-81.7165,294.33,40,20,2.06,CA,1681490916
146,rorvik,64.8621,11.2373,280.21,57,0,5.66,NO,1681490917
147,hamilton,39.1834,-84.5333,297.73,54,20,3.09,US,1681490917
148,gambela,8.25,34.5833,303.57,41,69,0.87,ET,1681490917
149,ribeira grande,38.5167,-28.7,291.37,82,75,7.15,PT,1681490917
150,ponta do sol,32.6667,-17.1,295.21,64,1,3.32,PT,1681490918
151,klaksvik,62.2266,-6.589,279.66,86,99,5.44,FO,1681490918
152,taft,31.7471,54.2088,294.12,14,0,5.14,IR,1681490918
153,ibiracu,-19.8319,-40.3697,304.82,48,34,2.34,BR,1681490918
154,leningradskiy,69.3833,178.4167,247.35,95,31,2.7,RU,1681490919
155,auki,-8.7676,160.7034,298.62,88,100,4.66,SB,1681490919
156,tuatapere,-46.1333,167.6833,283.16,90,1,1.48,NZ,1681490919
157,makakilo city,21.3469,-158.0858,296.33,77,0,3.09,US,1681490919
158,kargasok,59.0556,80.8572,260.25,93,100,4.19,RU,1681490919
159,gat,31.61,34.7642,293.37,14,55,3.84,IL,1681490920
160,batagay-alyta,67.8006,130.4114,252.14,85,6,3.02,RU,1681490920
161,narsaq,60.9167,-46.05,282.27,54,81,9.06,GL,1681490921
162,mushie,-3.0167,16.9,299.41,73,100,2.35,CD,1681490921
163,bokajan,26.0167,93.7833,298.45,35,16,0.83,IN,1681490921
164,tibiri,13.5627,7.0485,312.34,10,66,1.03,NE,1681490922
165,lompoc,34.6391,-120.4579,286.77,76,20,5.36,US,1681490922
166,udaipura,23.0833,78.5,306.11,16,100,2.2,IN,1681490923
167,avarua,-21.2078,-159.775,295.18,94,75,1.54,CK,1681490924
168,kruisfontein,-34.0033,24.7314,288.64,72,64,7.42,ZA,1681490925
169,luis correia,-2.8792,-41.6669,301.63,78,96,4.18,BR,1681490925
170,bengkulu,-3.8004,102.2655,298.59,86,99,2.25,ID,1681490926
171,diu,20.7141,70.9822,299.69,59,0,6.51,IN,1681490926
172,houston,29.7633,-95.3633,299.87,71,100,7.2,US,1681490560
173,saint-augustin,51.226,-58.6502,279.63,48,85,9.53,CA,1681490927
174,wladyslawowo,54.7909,18.4009,286.79,86,94,7.07,PL,1681490927
175,itupiranga,-5.1347,-49.3267,303.33,63,98,1.54,BR,1681490927
176,carnarvon,-24.8667,113.6333,292.4,50,2,13.08,AU,1681490927
177,kahului,20.8947,-156.47,296.4,80,0,4.12,US,1681490755
178,katsuura,35.1333,140.3,290.26,79,100,6.49,JP,1681490928
179,russkaya polyana,49.417,31.9201,280.24,90,100,5.05,UA,1681490928
180,barrow,71.2906,-156.7887,249.16,84,75,3.6,US,1681490929
